voter.id,treatment,victim.status,ge2000,ge2002,fam.members,age,party,sex,pct.white,median.income
448,0,3,N,0,2,71,D,M,0.949191988,102968
449,0,3,Y,1,4,58,N,F,0.916006982,53897
450,0,3,Y,1,4,51,N,M,0.916006982,53897
451,0,3,Y,1,2,54,D,F,0.916006982,53897
452,0,3,Y,1,2,54,D,M,0.916006982,53897
453,0,3,Y,1,3,54,N,F,0.916006982,53897
454,0,3,Y,1,3,54,N,M,0.916006982,53897
455,0,3,Y,1,2,76,D,F,0.895146012,76375
456,0,3,Y,1,4,64,D,F,0.902877986,74583
457,0,3,Y,1,4,67,D,M,0.902877986,74583
458,0,3,Y,0,3,57,N,M,0.889468014,73500
459,0,3,Y,1,2,88,D,F,0.780417025,51581
460,0,3,Y,0,1,88,D,F,0.753017008,89775
461,0,3,Y,1,2,56,N,F,0.776299,52058
462,0,3,Y,1,2,61,D,M,0.776299,52058
463,0,3,Y,1,4,55,D,F,0.902877986,74583
464,0,3,Y,1,4,54,D,M,0.902877986,74583
465,0,3,Y,0,3,52,N,F,0.902043998,58986
466,0,3,Y,0,3,54,N,M,0.902043998,58986
467,0,3,Y,0,1,78,N,F,0.887471974,56824
468,0,3,Y,1,1,86,D,M,0.800788999,56296
469,1,2,Y,0,1,34,N,F,0.949916005,33444
470,0,3,Y,0,1,61,D,F,0.943654001,31961
471,1,3,A,0,2,59,N,F,0.659065008,60288
472,1,3,A,0,2,63,N,M,0.659065008,60288
473,1,3,N,0,3,72,N,M,0.659065008,60288
474,1,3,Y,1,3,66,N,F,0.659065008,60288
475,0,3,Y,0,2,39,D,M,0.949916005,33444
476,0,3,N,0,1,88,D,M,0.800788999,56296
477,0,3,Y,1,2,100,N,F,0.888014972,76094
478,0,3,Y,1,2,56,N,F,0.949916005,33444
479,0,3,Y,1,2,52,N,M,0.949916005,33444
480,0,3,Y,1,2,78,D,F,0.786942005,99281
481,0,3,Y,1,2,78,D,M,0.786942005,99281
482,0,3,Y,1,1,79,D,F,0.776299,52058
483,1,3,Y,1,2,65,N,F,0.786942005,99281
484,1,3,Y,1,2,76,N,M,0.786942005,99281
485,0,3,Y,1,2,48,D,M,0.798907995,36998
485,0,3,Y,1,2,48,D,M,0.798907995,36998
486,0,3,Y,0,3,44,N,M,0.964960992,34293
487,0,3,N,0,3,75,N,M,0.964960992,34293
488,0,3,N,0,3,57,N,F,0.786942005,99281
489,0,3,Y,1,3,61,N,M,0.786942005,99281
490,0,3,Y,1,1,77,N,F,0.953584015,58304
