treatment,victim.status,voted_2000,voted_2002,fam.members,age,party,sex,pct.white,median.income
0,3,Y,1,5,56,N,F,0.927515984,90478
0,3,Y,1,5,59,N,M,0.927515984,90478
0,3,Y,0,2,82,D,F,0.858447015,57917
0,3,N,0,2,89,D,M,0.858447015,57917
0,3,Y,1,2,48,N,F,0.840772986,82709
0,3,Y,1,2,49,N,M,0.840772986,82709
0,2,Y,0,4,54,N,F,0.840772986,82709
0,3,N,0,1,75,D,F,0.949191988,102968
0,3,Y,1,2,68,D,F,0.949191988,102968
0,3,Y,1,2,63,N,F,0.949191988,102968
0,3,Y,1,2,71,N,M,0.949191988,102968
0,3,N,0,2,32,D,M,0.949916005,33444
0,3,Y,1,1,64,N,F,0.913571,79718
0,3,Y,1,3,58,N,M,0.881797016,84230
0,3,Y,1,3,57,N,F,0.881797016,84230
0,3,Y,0,2,74,D,F,0.86450398,80891
0,3,Y,1,3,66,N,F,0.913571,79718
0,3,N,0,2,77,D,M,0.86450398,80891
0,3,Y,1,3,61,N,M,0.913571,79718
0,3,Y,1,2,70,N,F,0.942236006,102983
0,3,N,0,2,79,N,M,0.942236006,102983
1,3,N,0,1,78,N,F,0.791890979,61985
