eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
13,1,0,1,0,1,9
13,1,0,1,0,1,1
13,1,0,1,0,1,4
13,0,0,1,0,1,-14
11,0,0,1,0,1,-33
13,1,0,1,0,1,-18
12,1,0,1,0,1,7
10,1,0,1,0,1,5
10,0,0,1,0,1,-6
10,0,0,1,NA,NA,-15
13,1,0,1,1,1,-26
13,0,0,1,0,NA,-8
12,1,0,1,0,1,-17
13,1,0,1,0,1,-7
13,1,0,1,0,1,0
11,0,0,1,0,NA,-1
10,0,0,1,0,1,-13
13,1,0,1,0,1,-19
13,1,0,1,0,1,-37
13,0,0,1,0,1,7
13,1,0,1,0,1,18
13,0,0,1,1,1,14
11,0,0,1,0,1,-12
13,1,0,1,1,1,10
11,1,0,1,0,1,-22
10,0,0,1,0,1,-10
13,0,0,1,0,0,-30
11,0,0,1,0,0,-29
12,0,0,1,0,1,10
11,1,0,1,0,1,14
13,1,0,1,0,1,12
13,1,0,1,0,1,17
11,1,0,1,0,1,-22
13,0,0,1,0,1,-13
13,0,0,1,0,1,-8
13,0,1,1,0,1,13
10,1,0,1,0,1,-12
11,0,0,1,0,1,13
11,1,0,1,0,1,-11
13,1,0,1,0,1,-25
10,1,0,1,0,1,-23
12,0,0,1,0,1,0
12,1,0,1,1,1,-22
12,1,0,1,0,1,-27
13,1,0,0,1,1,12
9,0,0,1,0,1,-39
13,0,0,1,0,1,-17
13,1,0,1,0,1,-3
9,1,0,1,0,1,-31
11,0,0,1,0,1,-8
10,0,0,1,0,1,-20
13,1,0,1,0,1,10
13,0,0,1,0,1,4
13,1,0,1,0,1,-8
10,1,0,1,0,1,-9
10,0,0,1,0,1,-17
13,1,0,1,0,1,-32
13,1,0,0,0,1,-6
13,0,0,1,0,1,-4
13,1,0,1,0,1,7
10,0,0,1,0,1,-6
12,1,0,1,0,1,9
13,0,0,1,0,1,-1
13,0,0,1,0,NA,3
13,1,0,0,1,1,0
10,0,0,1,0,NA,-33
10,1,0,1,0,1,-35
13,0,0,1,0,NA,14
11,0,0,1,0,1,-14
10,1,0,1,1,1,-13
13,1,0,1,0,1,-33
8,0,0,1,0,0,-30
13,1,0,1,0,1,-16
13,0,0,1,0,1,-11
11,0,0,1,0,NA,5
11,0,0,1,0,1,-10
13,1,0,1,0,1,-9
13,1,0,1,0,NA,-12
10,1,0,1,0,1,-1
10,0,0,1,0,1,-20
13,0,0,1,0,1,-8
11,0,0,1,0,1,-13
11,1,0,1,0,NA,-34
12,1,0,1,0,NA,-10
12,0,0,1,0,1,-17
13,1,0,1,0,1,-13
13,0,0,1,0,1,-14
13,1,0,1,0,1,-16
13,1,0,1,0,1,-7
13,0,0,1,0,1,3
12,1,0,1,0,1,4
13,1,0,1,0,0,-9
13,0,0,1,0,1,13
10,0,0,1,0,1,-20
13,0,0,1,0,NA,-16
13,1,0,1,0,1,-5
11,0,0,1,0,1,-26
13,0,0,1,0,NA,5
10,1,0,1,0,NA,-19
11,0,0,1,0,1,-15
9,0,0,1,0,0,-25
13,0,0,1,0,1,-6
12,1,0,1,0,1,-26
13,0,0,1,0,1,10
10,1,0,1,0,1,-5
10,1,0,1,0,1,-16
13,1,0,1,0,1,2
13,1,0,1,0,NA,-24
12,0,0,1,0,1,-7
13,0,0,1,0,1,-9
13,1,0,1,0,NA,-11
13,1,0,1,0,1,-38
13,1,0,1,0,0,-22
13,1,0,1,0,1,7
9,0,0,1,0,0,-35
13,0,0,1,0,1,3
9,0,0,1,0,1,-35
12,0,0,1,0,1,-31
13,1,0,1,0,1,10
13,0,0,1,0,1,-5
11,0,0,1,0,NA,9
13,1,0,1,0,1,-34
8,0,0,1,0,1,-24
12,1,0,1,0,0,-14
10,0,0,1,0,1,-6
10,0,0,1,1,NA,-34
12,1,0,1,0,1,-2
10,1,0,1,0,1,-17
10,1,0,1,1,0,-23
11,1,0,1,0,1,-1
12,1,0,1,0,1,-3
13,1,0,1,0,1,17
13,0,0,1,0,1,-2
11,0,0,1,0,0,-24
11,0,0,1,0,1,-3
13,1,0,1,0,1,-17
9,1,0,1,0,0,-39
6,0,0,1,0,1,-24
13,0,0,1,0,1,14
13,0,0,1,0,1,10
13,0,0,1,0,1,1
12,1,0,1,0,1,-31
9,0,0,1,0,0,-25
13,1,0,1,1,1,9
13,0,0,1,0,1,3
13,1,0,1,0,1,7
11,1,0,1,0,NA,-20
13,1,0,1,0,1,-41
13,1,0,1,0,1,-5
9,1,0,1,0,1,-21
13,0,0,0,0,1,-17
13,1,0,1,0,1,4
9,1,0,1,0,1,-37
13,1,0,1,0,NA,-22
13,1,0,1,0,1,-36
10,0,0,1,0,NA,-4
10,1,0,1,0,1,-24
13,0,0,1,0,1,13
13,1,0,0,1,1,-1
13,0,0,1,0,NA,-19
13,1,0,1,0,1,7
11,0,0,1,0,NA,-13
13,1,0,1,0,1,-15
11,1,0,1,0,1,-6
13,1,0,1,0,1,-18
10,1,0,1,0,1,-18
13,1,0,1,0,0,-16
10,1,0,1,0,1,-15
11,0,0,1,0,NA,9
10,1,0,1,0,0,-20
13,0,0,1,0,1,18
13,1,0,1,0,1,3
9,0,0,1,0,1,-20
11,1,0,1,0,1,-9
12,1,0,1,0,1,6
13,0,0,0,0,1,4
13,1,0,1,0,1,10
13,1,0,1,0,1,18
11,0,0,1,0,0,5
11,1,0,1,0,1,4
11,1,0,1,0,1,0
10,0,0,1,0,1,-17
11,0,0,1,0,1,15
12,1,0,1,0,1,6
9,1,0,1,0,NA,-29
9,1,0,1,0,1,-29
13,0,0,1,0,0,-27
13,0,0,1,0,1,-7
13,0,0,1,0,1,8
13,0,0,1,0,1,17
12,1,0,1,0,1,3
13,0,0,1,0,1,19
13,1,0,1,0,1,19
13,0,0,1,0,1,-2
11,0,0,1,0,1,-5
13,0,0,1,0,1,8
13,0,0,1,0,1,-15
11,0,0,1,0,1,-13
12,0,0,0,1,1,1
10,0,0,0,1,1,-32
13,1,0,1,0,NA,5
13,1,0,1,0,1,9
10,1,0,1,0,NA,-33
13,1,0,NA,1,1,11
10,0,0,1,0,1,3
10,0,0,1,1,NA,-4
